"","ColoRect-AdenoCA_cluster_1","ColoRect-AdenoCA_cluster_2","ColoRect-AdenoCA_cluster_3","ColoRect-AdenoCA_cluster_4","ColoRect-AdenoCA_cluster_5","ColoRect-AdenoCA_cluster_6","ColoRect-AdenoCA_cluster_7","ColoRect-AdenoCA_cluster_8","ColoRect-AdenoCA_cluster_9","ColoRect-AdenoCA_clusters_6_8_9","Panc-AdenoCA_cluster_1","Panc-AdenoCA_cluster_2","Panc-AdenoCA_cluster_3","Panc-AdenoCA_cluster_4","Panc-AdenoCA_cluster_5","Panc-AdenoCA_cluster_6","Panc-AdenoCA_cluster_7","Panc-AdenoCA_cluster_8","Panc-AdenoCA_cluster_9"
"chr14.38",636,5069,55,142,83,5,16,7,7,19,292,229,203,172,53,16,156,49,0
"chr14.39",696,4943,58,128,92,5,16,3,10,18,311,238,183,167,55,13,147,31,0
"chr14.40",499,4075,43,83,53,2,7,7,8,17,284,190,151,117,53,8,147,38,0
"chr14.41",447,3615,29,42,60,2,8,8,7,17,202,162,112,95,41,16,102,44,0
"chr14.43",369,3278,20,68,58,3,8,4,6,13,181,174,157,117,34,7,144,48,0
"chr14.44",529,4160,32,94,48,4,11,4,10,18,262,228,150,166,43,8,147,43,0
"chr14.45",655,4227,47,123,88,4,16,6,5,15,291,256,179,170,44,19,165,49,0
"chr14.46",469,3052,29,79,52,2,4,2,9,13,188,191,128,108,42,13,103,35,0
"chr14.47",221,1413,7,19,13,0,12,1,0,1,56,53,37,31,21,4,47,23,0
"chr14.48",359,2459,14,25,34,1,7,3,6,10,60,77,44,59,16,2,63,20,0
"chr14.49",339,2264,9,38,24,2,8,3,2,7,73,84,42,48,15,4,55,25,0
"chr14.50",325,2372,19,29,21,1,4,2,2,5,67,72,53,39,16,6,76,17,0
"chr14.51",272,2282,6,28,20,0,6,0,2,2,57,61,59,40,15,5,80,24,0
"chr14.52",249,1672,8,25,14,0,5,2,3,5,52,53,36,39,19,3,62,13,0
"chr14.53",317,2445,9,20,21,1,6,5,3,9,37,75,48,39,23,2,66,12,0
"chr14.54",396,2900,11,43,30,1,8,1,4,6,68,90,60,48,29,2,76,25,0
"chr14.55",366,2654,16,46,18,1,6,3,0,4,89,99,51,39,21,6,60,21,0
"chr14.56",352,2518,7,23,11,1,13,4,4,9,61,97,54,41,17,6,43,19,0
"chr14.57",378,2891,10,30,19,2,7,1,3,6,76,97,61,46,24,2,73,27,0
"chr14.58",322,2198,13,31,14,0,3,8,4,12,55,57,45,40,30,4,60,16,1
"chr14.59",395,2688,24,58,37,1,13,5,4,10,59,70,32,35,14,8,85,17,0
"chr14.60",408,3024,25,67,48,2,7,4,6,12,81,82,86,56,29,8,89,18,0
"chr14.61",230,1660,9,22,6,1,5,1,3,5,42,72,33,33,14,2,52,12,0
"chr14.62",238,1521,13,17,14,1,11,0,2,3,58,50,35,33,17,3,56,21,0
"chr14.63",294,2205,8,21,22,3,6,5,3,11,63,76,49,37,22,2,68,20,0
"chr14.64",290,1835,7,26,12,2,7,3,3,8,44,57,38,51,10,3,55,14,0
"chr14.65",196,1664,6,22,11,0,10,3,4,7,43,47,40,38,21,4,32,18,0
"chr14.66",233,1544,10,33,11,0,12,0,1,1,52,52,39,27,19,1,43,9,0
"chr14.67",352,2173,14,30,22,1,8,5,1,7,51,72,60,42,14,5,62,13,0
"chr14.68",248,1876,9,29,16,2,5,1,4,7,49,55,45,34,14,7,54,10,0
"chr14.69",419,2601,20,50,26,4,5,3,3,10,126,125,80,87,31,5,95,20,0
"chr14.70",237,1562,15,23,9,1,9,5,2,8,59,76,46,65,26,6,54,22,0
"chr14.72",246,1461,10,24,11,0,5,0,2,2,33,69,34,41,12,4,55,17,0
"chr14.73",317,1757,13,28,18,0,7,3,6,9,72,86,50,64,22,4,52,10,0
"chr14.74",287,1618,16,25,11,2,6,4,2,8,66,93,61,37,23,4,59,17,0
"chr14.75",384,2038,14,28,22,3,7,4,2,9,91,86,69,72,22,6,72,28,0
"chr14.77",398,2765,23,60,49,0,10,4,3,7,211,149,142,129,24,13,109,28,0
"chr14.78",348,2390,12,35,24,0,7,3,1,4,86,83,58,66,20,4,79,13,0
"chr14.79",643,3887,40,99,59,4,15,6,7,17,252,207,133,196,34,21,138,37,0
"chr14.80",830,5241,69,149,70,2,20,1,2,5,328,207,167,198,38,20,167,46,0
"chr14.81",846,5663,85,130,82,4,15,12,8,24,196,115,106,76,20,6,98,42,0
"chr14.82",812,5203,72,133,102,10,9,7,3,20,180,118,64,82,36,10,89,27,0
"chr14.83",740,4803,51,115,67,2,13,3,2,7,226,141,149,111,32,7,118,36,0
"chr14.84",653,4593,53,101,71,2,14,5,5,12,212,147,125,126,34,7,126,34,0
"chr14.85",369,2572,18,39,27,2,11,2,4,8,109,107,78,88,22,5,101,24,0
"chr14.86",304,2037,15,30,15,0,6,4,5,9,57,55,49,27,22,2,73,21,0
"chr14.87",301,2071,13,28,20,1,2,1,4,6,49,70,44,43,25,3,62,18,1
"chr14.88",253,1406,6,17,20,0,10,0,1,1,54,60,42,40,18,3,60,15,0
"chr14.89",274,1799,16,20,14,1,7,1,1,3,71,82,53,50,17,4,59,24,0
"chr14.90",254,1651,11,25,15,3,6,4,2,9,58,57,60,38,29,5,67,18,0
"chr14.91",398,2373,20,43,32,4,11,4,3,11,70,79,68,56,24,7,61,20,0
"chr14.92",336,1859,14,42,27,2,7,10,7,19,59,75,49,59,18,7,70,25,0
"chr14.93",340,2067,16,23,18,2,3,6,5,13,93,72,64,58,21,1,65,23,0
"chr14.94",488,2759,23,53,36,0,13,3,1,4,180,133,109,147,40,7,115,38,0
"chr14.95",526,3549,42,67,43,1,8,4,6,11,213,165,120,151,40,10,129,26,0
"chr14.96",375,2107,16,40,21,4,16,2,8,14,78,84,65,68,19,6,84,17,0
"chr14.97",301,1671,17,34,13,2,9,1,2,5,53,65,60,51,20,8,49,22,0
"chr14.98",360,2160,16,33,37,2,5,5,7,14,124,93,75,87,41,6,68,25,0
"chr14.99",219,1263,13,24,19,3,5,3,5,11,50,64,52,56,22,5,50,15,0
"chr14.100",210,1191,7,23,10,0,7,3,6,9,57,70,56,50,14,6,45,16,1
"chr14.101",261,1367,14,29,23,3,7,6,3,12,59,85,65,54,36,4,67,18,0
"chr14.102",182,994,8,30,16,0,11,2,2,4,69,67,63,51,21,3,78,23,0
"chr15.22",583,3058,42,86,71,3,14,7,15,25,241,232,160,168,41,12,173,47,0
"chr15.23",690,3925,61,111,88,6,17,13,19,38,249,224,212,194,51,20,170,49,0
"chr15.24",697,4116,64,105,88,1,8,10,16,27,267,270,210,184,40,19,178,43,0
"chr15.30",317,2189,12,38,34,1,9,5,4,10,102,134,83,62,19,9,74,44,1
"chr15.32",364,2392,20,33,29,0,2,6,9,15,62,74,62,30,17,2,53,21,0
"chr15.33",414,3368,21,64,50,3,12,6,4,13,63,70,60,35,26,5,97,20,0
"chr15.34",496,3462,35,75,35,4,9,6,17,27,78,81,67,46,13,5,80,20,0
"chr15.35",302,2683,16,41,25,2,7,10,7,19,41,62,50,32,10,5,60,25,0
"chr15.36",290,2509,16,14,17,1,11,6,4,11,49,58,52,36,23,2,90,20,0
"chr15.37",204,1485,13,22,8,3,4,4,3,10,45,57,49,24,21,2,52,16,0
"chr15.39",196,1319,11,21,9,0,5,5,3,8,53,64,48,28,15,2,57,31,0
"chr15.43",331,2566,8,57,36,0,6,6,11,17,145,144,101,108,37,5,116,27,0
"chr15.44",355,3362,22,55,40,0,6,9,5,14,189,156,125,97,34,7,129,21,0
"chr15.45",355,2930,16,52,37,5,11,6,7,18,109,107,86,74,27,11,91,22,0
"chr15.46",343,2450,10,31,21,3,9,8,5,16,60,77,43,48,16,5,63,14,0
"chr15.47",252,2093,8,29,20,2,5,7,4,13,58,89,54,56,19,3,71,20,0
"chr15.48",309,1964,11,29,9,0,5,3,5,8,47,70,53,33,32,2,74,25,0
"chr15.49",263,1788,8,18,10,4,3,5,8,17,57,55,61,33,20,2,55,25,0
"chr15.50",366,2916,21,46,39,0,7,4,6,10,90,82,69,55,21,8,73,26,0
"chr15.51",459,3511,32,59,53,5,13,9,9,23,145,114,93,81,30,2,101,37,0
"chr15.53",328,2431,16,31,16,1,6,2,5,8,60,67,41,31,22,6,50,23,1
"chr15.54",277,1948,10,19,10,1,6,0,2,3,32,54,40,34,16,2,53,14,0
"chr15.55",279,2089,14,29,13,1,8,7,1,9,48,61,54,33,17,4,67,24,0
"chr15.56",213,1551,11,25,12,1,8,4,6,11,36,59,29,33,21,1,65,17,0
"chr15.57",340,2163,13,31,17,3,8,11,8,22,59,78,69,49,21,1,70,26,0
"chr15.58",471,2812,31,43,39,2,7,9,6,17,94,113,75,61,28,3,98,35,0
"chr15.59",279,1907,11,37,14,0,12,8,6,14,44,69,34,40,15,3,70,21,0
"chr15.60",215,1492,12,25,9,0,7,3,7,10,28,63,47,29,19,5,59,23,0
"chr15.61",207,1369,8,27,12,1,8,4,3,8,44,51,46,22,23,4,54,28,0
"chr15.62",247,1504,13,28,19,3,10,6,3,12,46,65,39,40,17,3,89,25,0
"chr15.63",226,1603,11,30,6,0,8,2,2,4,57,63,56,38,17,1,63,25,0
"chr15.64",250,1608,10,25,11,0,13,2,1,3,19,57,35,27,24,4,48,18,0
"chr15.65",294,2000,14,29,19,4,6,6,7,17,60,50,56,39,23,2,64,27,0
"chr15.66",272,1803,17,22,9,1,9,3,3,7,49,83,58,42,19,6,58,32,0
"chr15.67",290,2032,11,21,18,3,10,8,6,17,60,78,58,35,19,3,78,33,0
"chr15.68",275,1812,7,18,19,0,8,5,1,6,52,65,41,28,13,0,45,15,0
"chr15.70",332,2267,13,28,27,1,6,5,3,9,49,70,65,50,28,4,51,26,0
"chr15.73",240,1825,6,25,19,2,6,6,8,16,49,63,64,39,22,1,56,24,0
"chr15.74",255,1602,10,28,14,0,5,7,3,10,57,69,51,36,17,6,72,27,0
"chr15.75",249,1402,14,22,13,0,7,2,4,6,51,79,51,46,21,3,60,26,0
"chr15.76",392,2117,25,36,22,3,3,7,7,17,58,87,51,48,33,5,74,24,0
"chr15.77",307,1927,13,32,18,2,11,5,5,12,67,76,63,35,26,3,60,35,0
"chr15.78",323,1942,14,33,25,0,7,6,4,10,91,112,82,52,34,8,87,23,0
"chr15.83",349,2043,16,36,30,0,9,4,4,8,84,101,76,65,25,5,90,33,0
"chr15.84",494,3540,43,75,62,3,14,1,11,15,214,225,162,114,61,9,178,44,0
"chr15.85",525,3015,36,63,56,4,17,9,11,24,204,220,145,142,43,18,140,47,0
"chr15.86",291,1744,12,41,10,0,5,6,6,12,63,87,57,43,22,2,67,26,0
"chr15.88",271,1565,13,24,20,3,5,1,5,9,52,68,60,37,25,0,70,33,0
"chr15.89",370,2217,16,36,21,2,7,9,5,16,79,88,59,45,23,5,89,29,0
"chr15.90",266,1656,11,34,18,1,5,4,8,13,85,97,66,54,16,4,79,36,0
"chr15.91",398,2551,25,33,33,1,3,9,4,14,120,141,104,90,25,4,102,42,0
"chr15.92",494,3351,47,76,51,1,11,9,8,18,201,220,152,130,51,4,161,54,1
"chr15.93",644,3525,36,106,69,5,8,13,12,30,156,178,114,76,38,10,114,32,0
"chr15.94",546,3225,41,56,55,2,5,12,11,25,198,152,138,103,30,7,145,42,0
"chr15.95",356,2478,16,39,30,2,4,5,5,12,170,150,111,107,32,6,138,41,0
"chr15.96",297,1891,16,36,18,4,5,2,8,14,86,89,72,44,27,3,60,27,0
"chr15.97",325,2151,26,40,14,2,7,7,0,9,67,76,57,34,34,1,80,38,0
"chr15.98",273,1609,16,27,20,1,14,3,3,7,67,89,51,44,40,1,81,23,0
"chr16.2",178,906,28,42,22,3,12,5,6,14,74,86,77,65,32,6,68,50,1
"chr16.4",269,1423,15,33,19,1,11,7,7,15,68,72,52,47,19,3,71,29,0
"chr16.5",196,1075,12,26,22,1,9,2,7,10,54,96,50,38,21,2,80,41,0
"chr16.6",388,2062,22,48,31,4,11,9,5,18,177,210,147,143,28,9,105,55,0
"chr16.8",631,3597,51,97,101,2,15,10,12,24,325,247,187,147,61,20,168,45,0
"chr16.10",288,2051,22,29,19,4,3,5,6,15,70,72,62,43,31,5,73,36,0
"chr16.11",311,1751,19,31,30,1,6,11,9,21,70,80,39,47,27,2,80,20,0
"chr16.12",199,1192,16,31,17,1,7,3,3,7,49,73,39,41,23,2,71,26,0
"chr16.13",296,1541,13,54,37,1,12,8,3,12,63,107,61,45,23,7,61,24,0
"chr16.14",473,2878,38,62,70,5,13,9,10,24,189,177,147,117,47,12,131,55,0
"chr16.18",348,2151,23,43,28,0,7,7,3,10,129,134,92,87,38,6,115,27,0
"chr16.20",246,1506,13,31,23,0,5,4,4,8,55,86,45,48,15,1,66,18,0
"chr16.24",288,1739,17,41,19,1,9,6,3,10,89,114,60,55,22,3,79,22,0
"chr16.25",380,2141,16,43,33,0,9,5,4,9,114,156,94,83,25,7,122,35,0
"chr16.26",462,2599,27,55,60,2,7,8,10,20,186,161,121,112,39,12,143,51,0
"chr16.27",572,3344,51,94,82,3,12,10,13,26,257,194,137,166,50,9,177,45,0
"chr16.28",306,1665,22,50,29,2,8,8,4,14,78,120,70,58,29,4,77,24,0
"chr16.45",338,2028,18,43,39,1,3,9,9,19,60,78,58,48,21,8,87,27,0
"chr16.46",399,2514,26,38,45,3,9,8,9,20,122,114,78,94,26,8,85,33,0
"chr16.47",309,1792,21,35,32,3,7,8,8,19,121,132,97,95,25,5,109,34,0
"chr16.48",411,2158,40,39,52,1,3,2,7,10,158,150,80,82,26,9,114,30,1
"chr16.49",477,2989,32,56,73,3,13,9,13,25,138,125,98,72,22,7,100,47,0
"chr16.50",273,2081,10,33,22,2,8,4,5,11,59,74,50,36,17,3,66,24,1
"chr16.51",299,1905,16,36,29,1,6,6,7,14,72,84,54,59,24,3,90,14,0
"chr16.52",489,2896,29,50,51,1,10,12,7,20,143,137,83,84,26,4,90,23,0
"chr16.53",467,2590,26,42,60,3,6,13,8,24,147,146,115,59,13,5,106,34,0
"chr16.54",231,1317,7,31,17,1,4,6,6,13,46,81,42,42,23,3,55,15,0
"chr16.55",228,1494,13,30,19,2,3,1,8,11,68,87,50,54,14,2,58,28,0
"chr16.56",388,2245,20,44,51,1,1,6,11,18,113,150,86,60,30,6,108,33,1
"chr16.57",676,4325,61,129,94,6,2,18,9,33,229,208,159,134,45,12,143,47,0
"chr16.58",782,5483,86,147,143,8,6,7,13,28,372,261,195,186,48,20,228,50,0
"chr16.59",847,5863,88,165,142,15,7,20,19,54,415,297,236,201,46,25,216,63,0
"chr16.60",731,5262,64,135,117,7,12,14,16,37,298,199,210,157,86,13,194,47,0
"chr16.61",685,4325,45,126,105,5,11,12,16,33,223,163,118,135,48,7,150,25,0
"chr16.62",626,3754,49,112,117,3,7,8,9,20,233,194,149,112,36,16,131,46,0
"chr16.63",448,2653,36,87,74,1,5,7,10,18,176,189,130,117,54,12,136,48,0
"chr16.64",216,1202,10,28,12,1,3,4,2,7,55,81,48,37,12,3,71,22,0
"chr16.69",270,1685,13,36,24,0,3,4,5,9,76,96,58,51,23,3,72,28,0
"chr16.70",314,1728,9,37,28,5,5,6,4,15,74,99,65,60,26,4,73,22,0
"chr16.71",453,2869,32,68,40,2,9,11,9,22,150,179,102,107,36,4,142,34,0
"chr16.73",325,2149,23,42,45,1,1,12,5,18,97,121,86,78,22,5,82,37,0
"chr16.74",521,3658,42,71,64,1,3,10,3,14,222,181,121,107,24,10,129,39,0
"chr16.75",386,2770,31,47,61,3,1,11,12,26,167,154,118,104,39,9,122,38,0
"chr16.76",422,2966,35,90,57,1,6,12,6,19,192,174,151,167,29,12,138,33,0
"chr16.77",445,3042,31,41,32,1,0,13,9,23,125,141,80,64,22,4,97,28,0
"chr16.78",365,2103,17,42,37,2,0,9,3,14,106,109,88,69,17,5,80,34,0
"chr16.79",292,1731,12,31,17,2,4,5,5,12,48,81,47,41,27,8,64,22,0
"chr16.80",408,2804,33,68,48,3,9,7,9,19,175,230,133,140,30,7,128,45,0
"chr16.81",376,2080,22,64,38,1,4,3,6,10,129,185,97,93,31,11,96,29,1
"chr16.82",195,1182,14,27,20,4,7,4,6,14,74,90,63,48,16,6,66,23,0
"chr16.83",215,1236,14,33,25,2,7,5,7,14,77,105,78,68,21,8,73,32,0
"chr16.84",411,2041,31,54,37,5,6,6,9,20,131,181,109,100,25,8,103,40,0
"chr17.6",337,1865,14,37,24,0,6,2,5,7,69,88,50,40,30,5,59,11,0
"chr17.7",316,1808,14,33,24,2,11,7,1,10,69,68,47,36,12,3,50,23,0
"chr17.9",324,1872,17,23,30,2,6,2,3,7,54,60,38,49,24,2,54,21,0
"chr17.11",327,1984,11,29,19,3,6,8,5,16,75,93,60,48,25,3,68,22,0
"chr17.12",418,2143,11,34,30,1,5,2,5,8,158,101,61,62,17,3,72,23,0
"chr17.13",355,2238,13,35,27,1,7,3,5,9,84,71,56,50,17,4,63,17,0
"chr17.14",487,2774,14,39,45,1,8,5,1,7,77,85,63,45,50,2,68,25,0
"chr17.15",482,2841,30,47,36,4,15,7,12,23,75,79,43,50,14,4,58,22,0
"chr17.18",221,962,4,13,14,1,8,0,5,6,29,69,32,24,19,0,35,20,0
"chr17.24",210,1251,12,35,13,0,9,6,10,16,48,74,67,44,24,7,74,17,2
"chr17.25",251,1385,8,30,15,0,9,1,12,13,44,75,50,39,28,1,59,30,0
"chr17.29",373,2321,24,50,28,5,11,12,5,22,127,139,107,96,50,7,83,42,0
"chr17.30",461,2820,42,52,41,1,16,10,8,19,115,140,84,107,34,8,109,72,0
"chr17.31",290,1850,18,32,12,3,6,4,5,12,69,85,43,44,26,3,67,59,0
"chr17.33",226,1418,6,44,11,1,7,8,4,13,67,83,46,44,25,2,42,24,0
"chr17.36",256,1634,19,34,21,2,8,2,14,18,50,92,52,47,25,6,67,28,2
"chr17.37",255,1454,19,26,21,1,10,2,4,7,50,77,62,45,23,7,75,30,0
"chr17.44",239,1639,10,37,15,5,11,4,5,14,56,115,54,49,29,5,71,27,0
"chr17.45",285,1606,16,39,26,1,1,4,2,7,57,83,52,44,27,4,61,27,0
"chr17.46",190,1242,16,26,8,1,13,3,3,7,49,71,54,43,29,9,69,32,0
"chr17.47",357,2488,23,55,35,6,5,8,5,19,116,149,78,96,36,4,123,44,0
"chr17.48",415,3418,21,74,57,9,6,11,6,26,220,181,142,137,42,14,170,37,0
"chr17.49",586,4493,54,173,93,4,16,9,7,20,276,260,152,181,46,17,181,47,0
"chr17.50",441,3079,39,86,53,2,12,8,7,17,144,166,100,110,30,7,135,46,1
"chr17.51",326,2392,20,58,27,7,9,1,9,17,69,97,73,61,24,4,71,16,0
"chr17.52",311,2118,16,48,27,3,8,6,6,15,65,107,56,46,19,3,56,24,0
"chr17.53",260,1512,10,29,12,2,3,1,6,9,41,66,40,60,19,4,70,18,0
"chr17.54",354,1971,17,36,15,2,7,6,6,14,59,82,50,56,22,4,65,30,0
"chr17.57",313,1895,15,38,15,1,3,4,8,13,69,107,52,73,27,1,60,27,1
"chr17.59",226,1504,11,41,10,3,7,8,15,26,53,68,68,52,17,1,61,21,0
"chr17.61",278,1887,10,24,16,0,7,3,9,12,60,63,38,44,18,6,59,27,0
"chr17.62",266,1644,19,36,14,3,8,4,18,25,60,58,46,47,22,4,61,24,0
"chr17.64",332,2551,23,38,31,3,3,5,7,15,71,96,52,55,14,2,54,26,0
"chr17.65",322,2432,12,40,14,2,14,6,5,13,119,139,77,85,20,6,81,28,0
"chr17.66",367,3102,26,49,24,1,4,12,7,20,94,128,59,65,28,7,93,37,0
"chr17.67",322,2466,14,31,24,1,13,11,8,20,54,79,57,49,22,9,79,28,0
"chr17.68",235,1307,9,18,22,2,6,1,1,4,50,61,39,47,25,2,67,17,0
"chr17.69",291,1737,22,51,18,2,13,8,4,14,58,83,55,60,26,3,85,32,0
"chr17.70",225,1296,16,40,12,4,6,4,13,21,50,81,59,67,15,9,63,29,0
"chr17.73",261,1457,5,44,19,2,12,5,7,14,76,85,61,53,25,4,83,34,0
"chr17.74",247,1246,13,35,21,2,8,1,5,8,67,118,57,52,16,3,74,26,0
"chr17.76",206,1008,12,45,23,4,1,5,6,15,88,67,56,47,20,5,53,26,0
"chr18.2",521,3634,24,60,64,1,16,11,11,23,172,156,122,80,36,3,111,28,0
"chr18.3",325,2185,16,18,19,0,3,5,2,7,63,106,40,59,21,2,81,19,0
"chr18.4",296,1858,11,19,8,3,2,2,3,8,57,79,45,29,16,4,117,21,0
"chr18.5",509,3386,16,48,41,4,11,6,7,17,154,149,115,116,50,5,148,35,0
"chr18.6",446,3124,21,54,26,1,6,10,8,19,209,140,109,101,52,6,132,33,0
"chr18.7",439,2833,19,59,27,4,1,7,9,20,177,149,114,78,50,9,129,25,0
"chr18.8",486,3161,20,61,45,3,8,10,4,17,195,149,144,110,29,6,118,29,0
"chr18.9",460,2432,16,40,32,3,10,3,3,9,106,96,93,39,28,3,86,31,0
"chr18.10",322,2118,13,23,13,0,10,2,2,4,56,83,57,51,26,2,66,18,0
"chr18.11",447,2339,15,33,29,0,9,2,4,6,121,90,64,50,36,5,111,28,0
"chr18.12",454,2702,22,50,36,2,8,4,4,10,167,125,95,88,25,6,115,23,0
"chr18.14",276,2009,7,28,15,0,12,3,3,6,110,156,59,53,37,3,90,22,0
"chr18.17",256,1931,6,28,15,1,11,1,1,3,79,121,64,91,35,10,75,28,0
"chr18.18",239,1551,8,16,13,0,7,0,3,3,79,84,50,39,22,6,73,33,0
"chr18.19",336,2020,4,20,24,1,5,1,3,5,124,87,71,62,49,109,85,24,0
"chr18.20",461,3240,10,67,36,1,11,5,2,8,190,185,149,122,32,164,210,36,0
"chr18.21",404,2673,8,51,24,2,6,3,1,6,70,78,59,45,21,63,93,20,0
"chr18.22",607,3977,22,71,63,7,14,6,8,21,124,87,76,61,34,24,204,31,0
"chr18.23",768,5125,43,91,77,5,13,10,8,23,151,128,112,68,26,32,173,35,0
"chr18.24",698,5551,44,100,80,3,14,4,11,18,155,130,103,101,43,19,127,39,0
"chr18.25",567,3862,30,52,37,3,8,3,7,13,196,121,123,95,43,13,181,32,0
"chr18.26",327,2301,10,18,10,0,9,3,5,8,57,68,44,31,17,1,68,13,0
"chr18.27",317,2281,9,18,7,1,12,4,5,10,41,69,65,40,15,1,69,23,0
"chr18.28",419,3435,13,39,37,3,8,5,7,15,81,80,65,74,18,5,99,24,0
"chr18.29",341,2975,11,38,27,1,10,5,6,12,91,90,60,62,20,8,75,18,0
"chr18.30",301,2232,9,14,7,0,5,3,4,7,39,39,36,18,18,0,80,25,0
"chr18.31",309,2130,6,17,15,1,11,2,4,7,53,68,43,38,17,3,66,14,0
"chr18.32",408,2475,14,45,25,3,10,3,8,14,84,83,77,69,34,6,111,14,0
"chr18.33",683,4765,30,107,63,4,9,7,13,24,175,106,113,51,40,3,132,21,0
"chr18.34",556,3803,15,66,33,0,10,2,14,16,64,65,70,47,25,4,73,17,0
"chr18.35",648,4606,30,79,48,4,12,9,12,25,185,113,82,50,28,8,113,24,0
"chr18.36",556,4063,25,61,44,3,12,2,5,10,191,110,114,56,56,12,126,15,0
"chr18.37",484,3508,12,42,44,0,9,2,1,3,81,72,56,39,15,2,79,15,1
"chr18.38",570,4641,33,68,52,1,14,3,8,12,124,112,93,56,21,3,93,16,0
"chr18.39",523,3911,12,35,44,3,7,6,1,10,87,79,84,34,21,2,63,26,0
"chr18.40",349,2669,13,39,20,2,8,3,4,9,63,72,38,35,22,1,67,13,0
"chr18.41",372,1962,10,26,29,0,12,5,2,7,64,73,46,31,21,2,79,19,1
"chr18.42",343,2247,14,31,16,1,4,3,2,6,77,60,40,48,26,4,59,16,0
"chr18.43",226,1616,6,20,9,0,10,1,4,5,32,42,31,14,16,1,46,19,0
"chr18.44",216,1435,5,10,9,1,4,2,5,8,31,35,22,23,15,1,31,13,0
"chr18.45",272,1902,9,18,12,0,8,1,1,2,48,53,31,21,11,1,48,7,0
"chr18.46",380,2475,12,29,26,2,9,2,4,8,70,168,65,58,22,2,78,11,0
"chr18.47",417,3749,26,43,46,2,12,6,2,10,103,54,56,35,31,2,91,10,0
"chr18.48",375,3355,26,45,44,0,8,2,10,12,179,122,87,89,28,7,116,12,0
"chr18.50",467,2930,10,52,28,2,12,4,3,9,75,78,44,47,26,5,52,27,0
"chr18.51",454,3191,20,42,37,0,7,5,5,10,91,71,51,51,14,4,75,22,1
"chr18.52",302,2045,6,20,14,0,7,3,4,7,25,37,30,24,11,0,54,17,1
"chr18.53",248,1724,6,13,14,0,9,7,2,9,28,41,27,22,21,1,43,17,0
"chr18.54",372,2296,14,28,25,1,7,6,5,12,52,70,41,36,12,4,60,19,0
"chr18.55",456,3556,18,40,36,1,10,1,6,8,99,76,57,50,24,6,79,11,0
"chr18.56",439,3382,17,41,32,0,7,4,11,15,98,61,65,50,25,4,97,19,0
"chr18.57",243,1794,8,24,13,0,4,4,4,8,37,39,29,22,13,1,41,13,0
"chr18.58",295,2057,12,15,16,2,11,1,2,5,27,45,41,19,13,3,65,9,0
"chr18.59",535,3080,22,36,34,4,13,4,5,13,118,120,75,82,32,5,106,16,0
"chr18.60",587,3894,26,69,51,3,12,8,9,20,192,140,126,102,36,10,130,30,0
"chr18.61",417,3458,13,44,36,0,13,5,2,7,151,84,79,47,17,1,77,26,0
"chr18.62",678,4610,34,80,56,1,9,7,7,15,136,87,54,54,35,4,112,25,0
"chr18.63",661,4752,35,68,54,1,18,5,3,9,181,124,122,66,41,4,96,31,0
"chr18.64",546,3622,20,63,44,1,16,5,6,12,150,109,86,69,33,7,105,39,1
"chr18.65",308,2191,14,27,14,0,6,3,4,7,62,76,44,42,19,0,57,14,0
"chr18.66",598,4227,20,61,61,1,8,7,10,18,160,101,106,78,32,6,101,23,0
"chr18.67",642,5074,41,74,71,3,12,8,6,17,167,175,104,83,32,4,114,33,0
"chr18.68",665,3985,25,72,62,3,11,4,10,17,105,94,63,59,26,2,96,21,0
"chr18.69",348,2058,10,21,23,1,11,5,7,13,64,67,37,28,20,4,79,11,0
"chr18.70",405,2575,17,32,23,1,8,2,0,3,93,76,52,47,18,1,75,33,0
"chr18.71",458,2740,25,51,33,1,11,2,5,8,114,114,88,76,65,9,83,26,0
"chr18.72",407,2425,13,34,34,3,6,4,2,9,116,118,67,75,54,10,81,18,0
"chr18.73",628,3047,24,78,61,4,14,12,6,22,205,187,128,126,110,7,137,29,0
"chr18.74",376,2000,20,53,37,2,12,7,4,13,89,112,71,68,32,4,95,16,1
"chr19.26",473,2658,39,71,68,1,18,7,10,18,300,324,180,190,65,14,207,36,0
"chr19.27",399,2119,35,63,43,2,8,8,7,17,178,345,123,100,37,8,171,25,0
"chr19.28",593,3200,47,107,68,5,10,6,16,27,333,468,172,192,48,21,213,50,0
"chr19.29",626,3107,62,118,73,5,16,15,20,40,389,387,206,200,44,11,204,39,0
"chr19.31",343,1805,29,48,30,3,9,12,7,22,131,125,103,73,35,8,110,27,0
"chr19.32",292,1608,17,37,16,1,9,8,7,16,67,112,60,54,16,4,81,24,0
"chr19.39",239,1432,16,32,18,1,16,10,11,22,59,84,63,54,37,4,67,31,0
"chr19.48",298,1497,14,38,26,0,9,7,4,11,76,122,83,71,33,7,96,31,0
"chr19.49",492,2415,28,54,38,6,4,5,9,20,121,123,76,77,36,8,111,29,0
"chr19.54",495,2627,46,81,72,3,12,7,9,19,171,195,127,136,48,4,148,51,0
"chr2.2",471,2362,54,88,67,2,0,8,5,15,350,267,231,190,74,23,172,58,1
"chr2.3",572,3140,73,110,93,5,10,11,8,24,301,246,186,204,35,22,191,52,1
"chr2.5",678,4251,88,139,119,5,12,10,7,22,247,194,170,116,33,13,154,46,0
