,kidney_clear_cell,kidney_papillary,melanoma_acral_lentiginuous,melanoma_desmoplastic,melanoma_mucosal_lentiginous,melanoma_nodular,melanoma_superificial_spreading,colorectal_nos,colorectal_adeno_nos,colorectal_adeno_mucinous,CIN,GS,MSI,POLE
chr16.58,611,95,87,3,5,1679,1177,40,4080,2555,399,82,6,3984
chr16.59,638,114,105,2,7,2415,1742,44,4491,2631,450,65,7,4205
chr16.60,499,101,90,1,7,2767,1883,42,4118,2198,362,68,12,3692
chr16.61,343,85,48,1,3,988,652,36,3415,1879,327,46,11,3023
chr16.62,311,68,64,0,7,1262,755,39,2807,1839,310,52,7,2918
chr16.63,345,89,90,3,4,2918,2109,19,1988,1314,191,26,5,2098
chr16.64,209,82,31,0,3,493,386,2,836,640,49,8,3,967
chr16.69,201,76,36,3,5,1033,759,4,1131,905,75,10,3,1342
chr16.70,209,45,42,1,4,1080,666,7,1183,946,84,18,5,1417
chr16.71,282,58,53,2,4,2091,1392,11,1972,1510,135,19,9,2328
chr16.73,308,67,40,1,5,1119,773,10,1462,1131,110,21,1,1743
chr16.74,302,77,77,2,8,1827,1409,23,2559,1791,204,43,3,2817
chr16.75,316,68,76,6,10,2230,1579,19,1999,1304,159,17,1,2137
chr16.76,202,51,41,5,4,645,443,14,1955,1626,191,44,6,2260
chr16.77,215,59,52,0,2,1260,794,6,2221,1387,117,21,0,2326
chr16.78,227,64,55,3,7,1050,778,5,1467,1106,104,15,0,1647
chr16.79,214,66,32,3,5,853,547,6,1181,912,75,13,4,1390
chr16.80,302,56,62,2,3,1570,1136,15,1947,1427,166,20,9,2243
chr16.81,247,68,42,5,8,1136,846,13,1475,1106,124,20,4,1674
chr16.82,217,58,23,3,5,589,348,7,817,635,66,6,7,936
chr16.83,228,75,35,2,3,748,504,9,867,668,81,10,7,986
chr16.84,246,69,57,0,5,912,614,14,1525,1061,137,13,6,1581
chr17.6,218,71,46,0,6,980,583,8,1228,1054,68,20,6,1464
chr17.7,277,55,36,3,3,914,628,6,1188,1022,68,12,11,1415
chr17.9,215,65,23,2,2,668,412,7,1235,1037,78,9,6,1446
chr17.11,300,56,51,3,4,1333,780,6,1293,1093,72,14,6,1575
chr17.12,251,51,78,4,5,1441,930,10,1379,1260,97,13,5,1657
chr17.13,342,66,95,5,10,2637,1644,7,1464,1213,84,19,7,1714
chr17.14,376,73,63,2,7,1259,1060,14,1820,1540,111,25,8,2172
chr17.15,257,77,56,2,5,1240,830,9,1985,1480,110,42,15,2139
chr17.18,217,65,40,1,3,482,295,6,635,587,45,7,8,771
chr17.24,199,70,32,0,5,532,365,5,821,720,50,14,9,1048
chr17.25,198,66,33,0,2,433,294,0,926,785,50,10,9,1134
chr17.29,292,84,93,9,7,1606,1248,8,1639,1182,98,24,11,1883
chr17.30,280,66,56,3,8,1258,899,15,2038,1398,120,32,16,2189
chr17.31,198,56,22,2,3,685,473,1,1254,965,63,20,6,1487
chr17.33,223,57,41,2,2,517,383,1,941,783,46,11,7,1130
chr17.36,251,70,33,1,3,683,513,9,1113,868,80,5,8,1313
chr17.37,226,63,50,1,3,810,599,4,990,798,55,12,10,1174
chr17.44,238,58,44,0,2,910,614,2,1116,847,61,9,11,1355
chr17.45,230,67,43,0,3,542,406,5,1133,842,65,4,1,1276
chr17.46,245,83,118,3,2,638,426,2,819,681,47,8,13,1021
chr17.47,268,69,103,2,2,2037,1237,14,1640,1328,115,20,5,2002
chr17.48,443,83,155,6,11,2654,1803,17,2356,1644,174,30,6,2693
chr17.49,305,72,140,9,5,2626,1703,24,3289,2122,336,55,16,3502
chr17.50,254,70,130,10,5,2470,1446,12,2209,1506,181,36,12,2430
chr17.51,257,63,82,2,12,1931,1354,9,1624,1216,92,22,9,1930
chr17.52,228,56,48,5,9,1557,1009,8,1379,1156,93,15,8,1728
chr17.53,201,61,26,1,3,579,397,4,1004,827,48,12,3,1214
chr17.54,195,70,44,0,5,584,423,2,1311,1101,70,21,7,1581
chr17.57,237,54,86,1,7,677,448,4,1276,1012,66,11,3,1534
chr17.59,193,54,50,1,11,581,343,3,1052,770,58,3,7,1218
chr17.61,205,56,54,1,10,653,443,1,1221,1012,44,18,7,1515
chr17.62,239,73,41,2,5,585,392,2,1169,841,74,21,8,1317
chr17.64,199,73,98,1,3,580,416,15,1707,1271,100,13,3,2074
chr17.65,248,65,59,6,6,696,458,6,1575,1266,71,20,14,1965
chr17.66,271,63,107,1,9,1389,902,4,2108,1480,90,12,4,2489
chr17.67,200,55,49,1,12,841,600,5,1675,1210,62,17,13,2005
chr17.68,214,66,24,4,7,541,321,4,872,725,62,8,6,1013
chr17.69,309,62,41,0,10,989,616,7,1244,895,94,9,13,1390
chr17.70,231,71,39,1,8,951,583,5,942,669,64,10,6,1015
chr17.73,234,71,37,4,4,748,478,5,1034,773,69,5,12,1170
chr17.74,265,62,35,2,4,813,515,5,885,688,79,6,8,961
chr17.76,236,77,32,0,6,440,333,4,736,570,75,8,1,792
chr18.2,334,64,102,4,9,2830,2132,28,2452,1862,176,49,16,2952
chr18.3,266,59,68,3,5,1679,1263,7,1457,1109,65,21,3,1792
chr18.4,182,54,34,1,7,579,462,2,1169,1031,45,17,2,1487
chr18.5,438,70,80,2,5,1041,1047,12,2235,1781,139,36,11,2727
chr18.6,244,60,54,1,5,1010,762,14,2071,1611,124,23,6,2500
chr18.7,218,54,60,3,3,1314,890,13,1922,1463,138,30,1,2323
chr18.8,208,66,29,4,2,515,348,16,2226,1556,158,35,8,2479
chr18.9,204,63,34,0,2,530,335,10,1697,1292,108,18,10,1969
chr18.10,196,49,32,1,3,558,353,2,1387,1114,58,13,10,1692
chr18.11,264,65,37,6,5,629,484,4,1629,1245,84,30,9,1789
chr18.12,232,56,30,1,5,583,439,9,1894,1379,134,27,8,2127
chr18.14,224,56,40,4,5,861,618,1,1378,974,55,14,12,1604
chr18.17,216,51,46,1,6,1240,853,7,1257,986,51,11,11,1568
chr18.18,193,67,22,2,3,523,359,5,1060,772,43,6,7,1230
chr18.19,237,49,43,4,2,853,609,9,1343,1062,59,16,5,1634
chr18.20,273,61,67,3,8,901,669,17,2171,1645,144,34,11,2571
chr18.21,233,56,32,3,0,531,429,9,1869,1294,104,22,6,2098
chr18.22,249,52,52,1,2,737,649,15,2767,1993,185,71,14,2983
chr18.23,307,65,66,3,4,1389,958,16,3617,2507,292,82,13,3934
chr18.24,459,75,109,5,10,2302,1737,19,3917,2569,284,64,14,4253
chr18.25,483,63,83,6,5,1534,1136,9,2615,1945,149,52,8,3066
chr18.26,213,48,64,0,3,1809,1307,4,1491,1188,36,11,9,1901
chr18.27,211,58,45,3,4,700,515,2,1454,1198,56,20,12,1846
chr18.28,216,50,69,4,6,1514,1170,6,2258,1702,104,25,8,2796
chr18.29,261,44,82,0,5,1435,1194,4,2057,1353,89,22,10,2455
chr18.30,199,43,34,0,5,604,398,5,1447,1123,35,10,5,1806
chr18.31,193,66,34,0,7,399,266,2,1408,1085,54,13,11,1717
chr18.32,213,57,68,6,3,1287,1003,7,1683,1301,109,28,10,1968
chr18.33,307,55,169,14,14,3497,2563,21,3324,2336,251,78,9,3717
chr18.34,281,49,157,10,6,3118,2414,8,2439,2052,129,56,10,3169
chr18.35,344,69,144,8,15,3468,2588,15,3128,2305,202,74,12,3685
chr18.36,326,60,141,8,6,3340,2586,9,2707,2055,169,42,12,3226
chr18.37,201,55,58,1,24,1205,944,8,2219,1875,117,28,9,2793
chr18.38,300,53,87,5,3,2368,1681,17,3181,2192,192,43,14,3590
chr18.39,268,60,72,3,5,1719,1246,10,2633,1899,142,41,7,3059
chr18.40,172,50,52,2,2,1125,935,5,1790,1312,83,18,8,2144
chr18.41,255,65,37,1,11,808,597,5,1408,1005,73,13,12,1585
chr18.42,225,49,49,3,6,1480,1078,5,1523,1133,60,15,4,1819
chr18.43,254,56,31,3,1,796,609,3,1112,777,39,10,10,1304
chr18.44,201,62,35,2,2,573,422,2,891,794,29,13,4,1205
chr18.45,182,57,69,2,5,1650,1212,3,1212,1008,45,10,8,1542
chr18.46,237,51,52,3,9,1369,937,8,1646,1285,81,27,9,1994
chr18.47,269,58,156,9,10,2539,1884,11,2510,1782,139,53,12,2994
chr18.48,260,55,136,10,7,2962,2201,18,2218,1629,124,31,8,2663
chr18.50,304,76,59,3,5,2215,1663,6,2054,1448,94,32,12,2307
chr18.51,294,58,66,1,25,1827,1439,7,2265,1489,131,40,7,2552
chr18.52,232,43,52,2,23,1542,1145,4,1310,1087,44,13,7,1677
chr18.53,241,53,33,2,4,591,430,1,1105,917,38,4,9,1401
chr18.54,264,54,54,3,9,1243,999,6,1524,1224,86,21,7,1805
chr18.55,402,65,67,4,11,1183,954,7,2342,1775,108,26,10,2729
chr18.56,248,56,117,5,9,2643,2057,6,2270,1657,118,30,7,2683
chr18.57,227,72,39,2,3,849,578,2,1123,969,47,7,4,1475
chr18.58,218,66,37,1,5,898,737,4,1328,1079,51,10,11,1663
chr18.59,339,57,70,1,2,2154,1929,9,2055,1669,138,42,13,2475
chr18.60,478,59,94,1,6,2689,2047,12,2673,1974,179,57,12,3069
chr18.61,506,69,59,3,4,1672,1238,7,2338,1643,111,26,13,2714
chr18.62,311,63,79,4,5,1831,1466,11,3214,2257,185,62,9,3516
chr18.63,319,64,104,3,9,1887,1714,9,3277,2311,209,68,18,3584
chr18.64,200,52,72,1,7,2047,1745,7,2559,1757,141,57,16,2801
chr18.65,229,46,44,4,18,848,710,2,1394,1171,51,18,6,1792
chr18.66,253,60,66,7,6,2216,1665,24,2843,2126,189,50,8,3262
chr18.67,366,58,71,3,4,2266,1836,15,3560,2356,218,61,12,3820
chr18.68,324,54,113,3,5,2279,1798,23,2864,1950,193,63,11,3030
chr18.69,201,62,38,3,5,792,562,12,1339,1133,67,14,11,1644
chr18.70,251,67,50,2,4,799,581,14,1703,1346,102,19,8,2061
chr18.71,305,46,79,2,4,987,724,8,1970,1348,114,25,11,2145
chr18.72,287,71,67,3,5,1264,1005,18,1663,1247,100,15,6,1924
chr18.73,354,70,124,3,10,1926,1405,29,2192,1653,182,56,14,2286
chr18.74,266,63,44,5,4,892,689,13,1453,1045,111,23,12,1571
chr19.26,287,56,87,3,7,1245,765,20,1938,1387,189,26,18,2094
chr19.27,301,68,66,1,2,1194,708,14,1553,1117,135,23,8,1682
chr19.28,411,94,94,4,4,2394,1579,23,2456,1573,212,46,10,2429
chr19.29,422,79,151,8,7,2929,1694,29,2416,1597,220,52,16,2405
chr19.31,274,78,56,1,4,908,587,7,1297,982,123,15,9,1476
chr19.32,235,55,35,3,5,888,569,8,1096,891,68,15,9,1312
chr19.39,251,65,46,1,7,1018,679,6,1000,769,65,12,16,1141
chr19.48,285,56,51,3,5,1036,760,7,1085,801,80,7,9,1209
chr19.49,273,66,70,4,8,1373,908,10,1751,1290,129,22,4,1873
chr19.54,332,71,83,2,11,1576,1144,17,1993,1342,192,32,12,2070
chr2.2,296,46,102,4,4,1979,1365,34,1764,1259,204,38,0,1873
chr2.3,263,73,134,6,10,2356,1552,41,2406,1575,246,46,10,2415
chr2.5,476,77,106,3,3,2209,1470,43,3289,1977,357,73,12,3221
chr2.7,510,77,98,4,5,2591,1751,24,2385,1659,226,44,2,2669
chr2.8,281,54,48,3,4,690,484,13,2188,1502,140,26,3,2491
chr2.9,236,55,55,3,10,829,587,8,1234,968,62,10,4,1525
chr2.10,231,46,38,2,6,444,324,3,1041,824,59,10,5,1241
chr2.11,219,77,24,3,4,544,394,4,899,792,61,5,7,1125
chr2.12,240,57,32,3,0,561,398,4,1133,963,87,10,12,1430
chr2.13,239,54,28,1,2,515,360,18,1897,1413,163,30,4,2201
chr2.14,367,65,94,3,6,2308,1602,31,2659,1911,233,57,14,3024
chr2.15,359,75,107,1,11,2463,1751,17,1748,1367,123,18,3,2163
chr2.16,237,58,49,2,12,1087,785,3,1454,1142,77,11,7,1789
chr2.18,319,62,85,3,6,2108,1498,16,1889,1450,146,29,5,2322
chr2.19,239,50,78,1,5,1689,997,14,1916,1504,142,33,9,2328
chr2.20,168,50,63,2,7,1741,1209,6,1683,1319,93,13,11,2072
chr2.21,220,48,27,0,6,564,397,6,1004,906,58,8,9,1331
chr2.22,226,58,66,2,6,1385,997,22,2256,1508,203,40,10,2460
chr2.23,279,63,122,2,8,1833,1268,26,2982,2075,274,62,12,3389
chr2.24,219,47,36,1,5,791,520,14,1498,1144,89,11,2,1888
chr2.25,226,61,23,2,4,346,240,3,1303,1065,67,9,9,1686
chr2.26,207,65,17,2,2,368,273,4,1096,903,63,9,12,1336
chr2.27,234,61,26,0,1,526,353,3,1040,885,64,11,6,1322
chr2.28,214,61,38,1,4,549,423,5,1141,919,55,10,10,1400
chr2.29,208,58,29,1,2,486,382,6,1042,913,47,6,8,1330
chr2.30,266,56,23,3,3,729,487,8,1847,1352,124,32,4,2115
chr2.31,220,56,48,2,4,902,616,6,1710,1294,101,16,13,2037
chr2.32,267,71,81,1,6,1551,1324,11,1841,1343,117,20,7,2184
chr2.34,219,66,36,5,3,778,498,16,1605,1218,100,15,5,1898
chr2.35,234,79,55,1,7,469,472,28,2591,1804,248,45,11,2947
chr2.36,308,68,75,0,4,1238,954,38,2833,2195,256,54,8,3477
chr2.37,299,43,48,0,4,783,556,12,1664,1359,119,18,5,2095
chr2.38,232,58,20,2,6,375,242,5,1288,1107,66,11,9,1669
chr2.39,226,54,21,3,1,440,313,1,1299,1107,51,11,8,1653
chr2.40,188,56,23,0,2,426,313,9,1417,1155,63,10,9,1799
chr2.41,265,57,49,5,2,1569,930,22,2545,1618,180,30,9,2804
chr2.42,231,60,36,1,8,1116,606,22,2422,1770,195,32,8,2876
chr2.43,201,64,33,3,0,515,386,7,1081,887,50,11,10,1340
chr2.44,207,59,32,0,0,504,330,3,907,886,48,7,13,1271
chr2.45,224,80,20,0,2,416,299,7,1250,1038,65,6,8,1613
chr2.46,237,40,27,1,3,720,460,6,1639,1192,86,17,7,1939
chr2.47,227,54,18,1,3,365,262,4,1194,975,60,13,7,1499
chr2.48,180,55,37,0,8,720,530,6,974,892,64,9,10,1286
chr2.49,242,74,31,0,3,841,572,4,1646,1308,93,20,13,2031
chr2.50,378,83,62,0,5,1966,1244,32,2470,1722,240,31,10,2877
chr2.51,395,63,70,3,6,1704,1139,28,3247,2070,313,61,10,3458
chr2.52,410,71,82,3,9,2944,2080,51,3496,2106,357,87,10,3513
chr2.53,504,84,51,3,4,1298,871,37,2951,2131,276,74,17,3238
chr2.54,323,56,27,1,8,772,575,23,2000,1451,179,26,5,2365
chr2.55,186,64,29,3,5,382,250,8,1210,1026,53,11,9,1614
chr2.56,210,77,26,0,4,494,346,4,1394,1078,86,8,8,1739
chr2.57,222,59,61,0,7,1501,1050,19,2439,1742,208,53,11,2761
chr2.58,320,56,49,6,5,1403,811,42,2862,2017,257,47,10,3206
chr2.59,338,62,51,1,6,1244,673,18,2265,1608,161,33,10,2684
chr2.60,354,73,111,3,8,2112,1302,22,2595,1639,185,33,4,2918
chr2.61,288,64,63,1,2,1054,634,5,1679,1179,93,18,6,1954
chr2.62,205,55,10,4,3,415,303,10,1304,1059,64,12,5,1639
chr2.63,183,66,24,2,2,397,281,4,1422,1109,75,9,7,1766
chr2.64,214,61,30,3,1,447,321,10,1552,1308,88,22,5,1984
chr2.65,189,63,20,2,5,401,299,5,1282,1134,55,12,4,1636
chr2.66,215,48,28,2,3,599,391,8,1183,974,72,14,4,1519
chr2.67,304,56,42,0,5,1257,725,21,2344,1631,171,35,6,2659
chr2.68,263,63,56,3,5,1318,826,13,2285,1700,136,28,9,2764
chr2.69,238,50,27,0,5,617,413,8,1936,1326,79,22,5,2230
chr2.70,223,57,20,2,3,458,345,5,1311,1118,64,13,11,1685
chr2.71,214,66,36,0,1,677,469,3,1165,1010,52,6,10,1502
chr2.72,210,59,27,2,3,759,528,11,1559,1136,99,12,9,1789
chr2.73,238,57,30,3,2,671,439,13,1558,1275,88,11,9,1964
chr2.74,211,55,34,3,1,588,396,5,1387,1120,67,12,6,1737
chr2.75,215,76,26,1,3,467,319,6,1062,876,51,6,4,1355
chr2.76,229,56,39,2,3,1021,701,6,1811,1334,93,23,6,2150
chr2.77,316,71,79,3,6,2387,1503,36,2928,1847,267,56,14,3049
chr2.78,340,59,61,5,5,1373,789,29,3113,2094,266,68,8,3333
chr2.79,454,84,58,4,4,1047,647,34,2937,2171,264,60,8,3280
chr2.80,465,78,46,2,16,1214,774,28,2370,1702,207,42,4,2658
chr2.81,433,71,64,4,6,1444,961,28,2050,1614,171,42,9,2473
chr2.82,480,84,118,2,12,3253,2150,33,2997,2314,339,87,11,3562
chr2.83,566,96,141,2,11,3459,2277,39,2418,1885,258,37,11,3000
chr2.84,530,93,109,3,7,2542,1720,32,2696,1961,225,46,8,3197
chr2.85,303,66,89,2,8,1909,1232,13,1557,1248,97,18,7,1969
chr2.86,221,60,34,1,3,507,375,4,922,767,61,12,4,1125
chr2.87,194,46,50,0,4,508,328,6,1203,944,61,9,1,1486
chr2.96,224,58,33,2,4,665,433,6,1349,1026,65,7,9,1684
chr2.97,206,66,39,1,3,636,354,7,1456,1121,85,18,8,1756
chr2.98,218,45,41,2,1,894,478,12,1869,1401,162,25,11,2173
chr2.99,216,52,32,0,2,673,414,2,1264,993,56,13,12,1568
chr2.100,211,69,55,2,7,1503,955,7,1459,1171,69,9,8,1819
chr2.101,306,56,126,5,15,2750,1861,25,2293,1592,196,30,5,2567
chr2.102,268,55,86,5,8,2041,1267,16,2831,1864,237,49,10,3095
chr2.103,225,52,47,2,7,959,632,5,1354,1115,88,17,9,1676
chr2.105,249,67,92,4,6,2976,1541,22,2432,1770,152,37,6,2774
chr2.114,570,85,83,9,6,1953,1313,32,3092,2021,305,74,9,3134
chr2.115,459,75,62,1,7,1545,1080,15,2180,1481,146,31,8,2568
chr2.116,255,74,77,3,4,1663,1102,12,1891,1270,106,19,3,2186
chr2.117,246,68,76,6,8,1866,1301,14,1637,1250,93,20,7,1902
chr2.118,215,66,29,2,4,709,468,5,1254,1021,75,7,3,1538
chr2.119,253,84,45,2,3,888,525,6,1244,884,74,18,7,1429
chr2.120,213,63,68,2,4,554,405,8,1761,1331,101,29,14,2121
chr2.121,304,67,37,1,4,1010,654,35,3238,2261,297,73,13,3675
chr2.122,343,68,73,4,7,1741,1126,38,3118,2225,287,87,11,3563
chr2.123,394,83,88,5,5,2178,1453,14,2258,1654,169,26,15,2736
chr2.124,356,69,78,3,7,1283,809,11,2124,1573,144,36,10,2568
chr2.125,238,75,42,1,1,953,599,4,1174,1001,82,13,5,1516
chr2.126,226,61,32,1,2,663,418,9,1024,885,68,8,10,1281
chr2.127,402,79,100,4,6,2434,1692,14,2484,1636,219,40,11,2603
chr2.131,215,47,30,0,4,695,485,19,2156,1293,171,19,6,2254
chr2.132,230,51,28,3,6,851,565,15,1593,1196,122,13,8,1861
chr2.134,238,62,47,2,2,1184,743,10,1521,1231,119,23,14,1814
chr2.135,402,90,100,4,8,3419,2255,20,2460,1807,211,46,11,2771
chr2.136,274,57,57,1,5,1324,899,7,1479,1269,90,14,2,1966
chr2.137,296,55,112,4,16,2748,1758,20,2636,2003,196,44,14,3165
chr2.138,385,80,107,1,11,2847,1661,28,3169,2228,300,39,8,3660
chr2.140,421,82,87,4,13,1314,804,23,2859,2286,279,52,12,3527
chr2.141,313,67,39,1,5,1094,668,25,2528,2059,241,47,11,3094
chr2.142,248,69,21,2,6,503,301,17,1916,1719,167,23,8,2463
chr2.143,282,59,18,3,9,553,329,29,2814,1969,281,53,8,3124
chr2.144,359,72,51,3,7,1154,755,30,3110,2031,324,56,10,3327
chr2.145,249,58,65,3,10,2113,1182,12,2111,1550,160,19,4,2498
chr2.146,226,60,33,0,10,872,549,6,1328,1180,79,15,7,1745
chr2.148,230,70,41,4,6,644,432,7,1908,1331,104,19,10,2209
chr2.149,250,57,31,4,11,663,379,7,2044,1537,148,16,9,2402
chr2.151,323,77,78,3,9,1681,1085,9,1830,1449,130,31,7,2203
chr2.152,358,79,141,7,15,3099,1922,24,2678,1956,262,44,10,3098
chr2.153,299,68,76,2,10,1862,1025,20,2504,1790,186,27,11,2953
chr2.154,382,74,39,2,5,810,484,6,1836,1512,111,19,6,2364
chr2.155,280,53,55,2,4,1122,617,3,1661,1267,76,6,8,2097
chr2.156,203,71,43,1,7,731,476,5,1540,1216,65,5,7,1960
chr2.157,207,63,29,2,2,395,231,3,1198,1002,39,10,9,1538
chr2.158,196,50,26,3,5,581,329,5,1199,1116,60,9,4,1599
chr2.159,246,63,37,2,9,735,433,6,1773,1422,103,15,4,2193
chr2.160,268,56,77,3,8,1542,911,6,1695,1489,101,15,1,2227
chr2.161,308,64,57,4,9,1982,1143,15,2419,1867,167,23,6,2948
chr2.162,233,51,35,1,12,963,605,25,2723,1955,267,52,8,3021
chr2.163,229,71,36,1,7,975,598,5,1873,1423,96,18,11,2305
chr2.164,249,65,33,5,3,947,683,13,2065,1349,130,17,4,2354
chr2.165,323,60,42,5,8,1925,1165,17,2273,1579,170,41,10,2691
chr2.166,236,55,39,2,5,901,533,7,1321,1205,84,11,6,1799
chr2.167,246,79,43,3,7,769,490,5,1506,1146,62,9,7,1870
chr2.168,182,65,26,3,4,663,426,7,1469,1170,55,12,6,1875
chr2.169,236,57,19,1,5,729,463,4,1505,1110,59,7,8,1830
chr2.170,209,66,23,1,4,591,410,3,1258,1044,59,10,12,1614
chr2.171,223,55,32,0,2,676,410,5,1301,1098,50,10,10,1703
chr2.172,212,59,46,0,4,799,478,3,1435,1155,62,12,5,1773
chr2.173,267,63,33,0,3,622,418,9,1817,1338,117,13,18,2156
chr2.174,236,64,21,1,5,946,606,6,1843,1418,83,21,5,2290
chr2.175,220,70,32,2,7,1110,607,9,1590,1415,78,11,7,2121
chr2.176,208,65,25,2,9,718,409,6,1758,1315,73,22,8,2144
chr2.177,244,62,32,4,8,1464,949,15,1892,1362,105,25,9,2231
chr2.178,263,65,65,3,9,1695,1077,19,2342,1618,151,32,6,2758
chr2.179,310,70,58,0,11,1532,913,13,2227,1617,148,19,6,2725
chr2.180,259,63,29,3,6,1531,906,9,1763,1394,118,14,4,2222
chr2.181,240,59,41,3,6,951,571,12,1690,1302,89,16,5,2102
chr2.182,390,76,80,3,10,1993,1269,17,2309,1712,188,30,9,2865
chr2.183,370,96,94,1,8,2567,1653,26,2681,1736,196,45,7,3046
chr2.184,224,55,48,2,10,1126,727,9,1546,1359,112,24,8,2043
chr2.185,233,66,59,1,9,2074,1235,17,2080,1510,149,21,5,2481
chr2.186,256,50,57,0,7,1383,892,22,2448,1540,160,40,12,2688
chr2.187,288,50,49,3,7,1439,848,10,2085,1655,133,23,8,2618
chr2.188,223,59,29,3,9,642,408,3,1390,1206,71,5,9,1801
chr2.189,191,58,21,2,4,458,268,6,1373,1141,61,12,2,1782
chr2.190,264,61,52,1,7,1487,934,11,1817,1449,113,23,11,2301
chr2.191,324,67,123,3,11,3081,2064,21,2509,1745,183,41,10,2986
chr2.192,421,100,120,3,5,3033,1918,26,2724,1958,231,51,18,3127
chr2.193,341,71,121,5,13,2961,1999,18,2008,1462,126,31,9,2441
chr2.194,248,44,47,1,9,1404,912,5,1551,1157,61,13,14,1857
chr2.195,242,58,29,3,6,570,403,5,1341,1093,55,8,5,1683
chr2.196,251,58,22,3,2,725,432,8,1756,1392,88,20,12,2252
chr2.197,216,46,62,3,3,1895,1203,9,1500,1285,64,8,9,2034
chr2.198,243,74,37,2,3,546,352,4,1595,1282,47,7,2,2041
chr2.200,230,68,17,2,2,572,326,4,1422,1161,68,11,6,1758
chr2.202,269,51,32,1,5,762,488,6,1574,1351,62,10,11,1989
chr2.203,215,58,29,2,2,519,342,8,1254,1124,85,14,15,1653
chr2.204,216,53,47,2,2,767,527,5,1242,1063,63,11,8,1553
chr2.205,248,64,56,2,3,883,536,5,1887,1379,135,16,3,2226
chr2.206,179,66,24,0,4,600,384,10,1116,1022,74,6,15,1454
chr2.208,199,71,43,1,5,764,499,10,2039,1557,146,21,6,2449
chr2.209,343,66,77,3,7,1814,1162,20,2254,1811,176,36,12,2731
chr2.211,250,76,97,0,10,2243,1456,20,2082,1654,141,28,15,2563
chr2.213,239,62,31,1,8,870,601,22,2051,1580,146,31,11,2510
chr2.214,260,62,31,2,2,594,374,14,1346,1267,84,12,5,1776
chr2.215,229,53,37,2,3,830,531,11,1844,1465,142,32,10,2055
chr2.216,232,81,32,3,5,719,477,9,1293,1078,90,16,12,1587
chr2.217,202,71,33,1,3,535,376,7,1037,874,72,5,8,1258
chr2.218,250,59,71,1,4,2288,1395,21,1951,1309,164,29,6,2181
chr2.219,318,70,78,2,7,1397,880,16,2052,1613,163,28,2,2601
chr2.220,257,65,32,0,11,1245,734,15,1896,1499,132,21,9,2379
chr2.221,212,61,25,0,5,604,374,6,1455,1158,75,14,8,1867
chr2.222,175,57,22,3,2,454,342,10,1521,1187,77,11,9,1833
chr2.223,308,57,43,3,5,817,493,12,1759,1427,96,18,3,2231
chr2.224,282,65,51,1,5,741,487,12,2500,1745,157,31,4,2886
chr2.225,176,67,26,0,6,678,414,1,1440,1295,73,11,7,1883
chr2.226,274,72,73,5,9,1324,1032,3,1513,1306,88,12,8,1997
chr2.227,343,54,110,4,15,2035,1601,16,2003,1536,129,30,7,2481
chr2.228,219,66,71,2,2,1311,875,16,1627,1228,103,20,11,1897
chr2.229,227,66,31,1,4,588,438,6,1126,892,65,14,9,1428
chr2.232,227,72,40,2,4,682,574,7,1462,1085,56,9,9,1775
chr2.233,208,56,26,0,2,507,448,6,1448,1139,68,12,4,1758
chr2.234,228,60,42,2,1,391,331,2,1301,899,86,12,8,1470
chr2.235,247,73,57,1,7,678,572,12,1758,1350,131,27,7,2037
chr2.236,186,68,26,2,2,372,305,8,1108,824,77,11,9,1297
chr2.237,263,65,42,1,3,547,428,6,1187,894,74,8,10,1381
chr2.238,299,71,37,0,5,800,581,9,1705,1199,128,13,4,1842
chr2.239,191,68,38,5,2,471,379,6,960,749,73,4,6,1117
chr20.2,227,63,30,3,3,933,671,4,1521,1146,76,14,7,1761
chr20.3,231,57,41,2,0,783,588,8,1443,988,63,12,4,1647
chr20.5,267,62,42,4,2,1058,850,10,1533,1151,108,18,11,1786
chr20.6,245,59,33,3,4,885,712,13,1133,940,72,10,9,1409
chr20.7,220,59,90,6,3,2415,1753,15,1739,1257,127,23,5,2081
chr20.8,257,58,98,3,8,2188,1470,32,2789,1786,230,54,5,3040
chr20.9,211,45,73,2,3,2046,1278,12,2062,1312,131,33,9,2348
chr20.10,276,62,105,3,5,2456,1840,15,1646,1236,102,19,14,2008
chr20.11,239,56,56,2,2,1083,794,9,1482,1099,93,12,3,1766
chr20.12,240,61,52,4,8,1109,738,13,1899,1300,109,16,6,2234
chr20.13,261,64,63,2,4,1414,1113,28,2102,1431,172,23,4,2403
chr20.14,195,49,43,8,13,691,471,13,1715,1171,102,21,9,1950
chr20.17,262,56,42,1,3,803,551,14,1628,1208,119,26,17,1932
chr20.18,247,52,32,2,2,576,360,11,1374,1063,90,16,6,1658
chr20.19,223,61,47,1,0,1174,820,23,1460,1043,72,13,3,1666
chr20.20,276,44,56,7,6,1441,996,2,1466,1047,95,21,2,1676
chr20.21,243,73,48,0,2,932,581,5,1451,1163,97,14,9,1731
chr20.22,282,59,47,3,3,1655,1134,18,2042,1341,178,16,10,2254
chr20.23,419,54,102,6,1,2305,1602,18,1688,1320,142,23,7,2004
chr20.24,293,59,60,3,5,1105,693,11,1801,1277,180,28,9,1958
chr20.25,294,48,88,5,8,2143,1387,19,1838,1269,175,30,10,1970
chr20.28,227,62,31,1,3,664,421,9,996,745,90,10,5,1138
chr20.29,254,82,44,1,3,851,543,2,1085,848,114,14,10,1207
